Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?b  parent  ?a   ,?a  successor  ?b,0.31920904,0.119450317,0.478813559,113,946,236,?a,0.676056338028169,0.5675675675675675,0.43243243243243246,0.5675675675675675,48,63,71,111
?b  father  ?a   ,?a  successor  ?b,0.288135593,0.181818182,0.490384615,102,561,208,?a,0.75,0.5892857142857143,0.3333333333333333,0.6666666666666666,33,66,44,112
?b  mother  ?a   ,?a  successor  ?b,0.031073446,0.026960784,0.423076923,11,408,26,?a,0.5789473684210527,0.0,1.0,0.0,11,0,19,1
?b  predecessor  ?a   ,?a  successor  ?b,0.757062147,0.748603352,0.92733564,268,358,289,?a,0.9925925925925926,0.981651376146789,0.5560165975103735,0.44398340248962653,134,107,135,109
?a  child  ?b   ,?a  successor  ?b,0.358757062,0.084217507,0.196899225,127,1508,645,?a,0.5614035087719298,0.725,0.2689075630252101,0.7310924369747899,32,87,57,120
?b  name  ?a   ,?a  name  ?b,0.164102564,0.164102564,1.0,96,585,96,?a,1.0,1.0,0.8958333333333334,0.10416666666666667,86,10,86,10
?b  child  ?a   ,?a  predecessor  ?b,0.354748603,0.084217507,0.190404798,127,1508,667,?b,0.6990291262135923,0.6111111111111112,0.5669291338582677,0.4330708661417323,72,55,103,90
?a  mother  ?b   ,?a  predecessor  ?b,0.027932961,0.024509804,0.4,10,408,25,?b,0.06666666666666667,0.07317073170731707,0.4,0.6,4,6,60,82
?a  parent  ?b   ,?a  predecessor  ?b,0.32122905,0.121564482,0.481171548,115,946,239,?b,0.5909090909090909,0.5258620689655172,0.46017699115044247,0.5398230088495575,52,61,88,116
?a  father  ?b   ,?a  predecessor  ?b,0.296089385,0.188948307,0.490740741,106,561,216,?b,0.6266666666666667,0.6483516483516484,0.44339622641509435,0.5566037735849056,47,59,75,91
?b  successor  ?a   ,?a  predecessor  ?b,0.748603352,0.757062147,0.937062937,268,354,286,?b,1.0,0.9702970297029703,0.5829787234042553,0.41702127659574467,137,98,137,101
?b  child  ?a   ,?a  father  ?b,0.354723708,0.131962865,0.557422969,199,1508,357,?a,0.6473988439306358,0.8365384615384616,0.5628140703517588,0.4371859296482412,112,87,173,104
?a  parent  ?b   ,?a  father  ?b,0.768270945,0.455602537,0.55974026,431,946,770,?a,0.8707124010554089,0.7829457364341085,0.765661252900232,0.23433874709976799,330,101,379,129
?a  predecessor  ?b   ,?a  father  ?b,0.188948307,0.296089385,0.512077295,106,358,207,?a,0.6266666666666667,0.6483516483516484,0.44339622641509435,0.5566037735849056,47,59,75,91
?b  successor  ?a   ,?a  father  ?b,0.181818182,0.288135593,0.492753623,102,354,207,?a,0.6029411764705882,0.6703296703296703,0.4019607843137255,0.5980392156862745,41,61,68,91
?a  parent  ?b   ,?a  mother  ?b,0.764705882,0.329809725,0.492113565,312,946,634,?a,0.7773584905660378,0.848,0.6602564102564102,0.33974358974358976,206,106,265,125
?b  child  ?a   ,?a  mother  ?b,0.389705882,0.105437666,0.484756098,159,1508,328,?a,0.7450980392156863,0.45918367346938777,0.7169811320754716,0.2830188679245283,114,45,153,98
?b  successor  ?a   ,?a  parent  ?b,0.119450317,0.31920904,0.528037383,113,354,214,?b,0.5662650602409639,0.5535714285714286,0.43119266055045874,0.5688073394495413,47,62,83,112
?b  child  ?a   ,?a  parent  ?b,0.358350951,0.224801061,0.288510638,339,1508,1175,?b,0.875,0.8604651162790697,0.6118881118881119,0.3881118881118881,175,111,200,129
?a  predecessor  ?b   ,?a  parent  ?b,0.121564482,0.32122905,0.537383178,115,358,214,?b,0.5909090909090909,0.5258620689655172,0.46017699115044247,0.5398230088495575,52,61,88,116
?a  mother  ?b   ,?a  parent  ?b,0.329809725,0.764705882,0.925816024,312,408,337,?b,0.7773584905660378,0.848,0.6602564102564102,0.33974358974358976,206,106,265,125
?a  father  ?b   ,?a  parent  ?b,0.455602537,0.768270945,0.92887931,431,561,464,?b,0.8707124010554089,0.7829457364341085,0.765661252900232,0.23433874709976799,330,101,379,129
?b  spouse  ?a   ,?a  spouse  ?b,0.765317919,0.765317919,0.932394366,662,865,710,?a,0.9844444444444445,0.9741935483870968,0.7457912457912458,0.2542087542087542,443,151,450,155
?b  predecessor  ?a   ,?a  child  ?b,0.084217507,0.354748603,0.538135593,127,358,236,?b,0.48148148148148145,0.752,0.21666666666666667,0.7833333333333333,26,94,54,125
?b  mother  ?a   ,?a  child  ?b,0.105437666,0.389705882,0.633466135,159,408,251,?b,0.8435374149659864,1.0,0.9612403100775194,0.03875968992248062,124,5,147,5
?b  father  ?a   ,?a  child  ?b,0.131962865,0.354723708,0.718411552,199,561,277,?b,0.5384615384615384,0.958904109589041,0.09090909090909091,0.9090909090909091,14,140,26,146
?a  successor  ?b   ,?a  child  ?b,0.084217507,0.358757062,0.510040161,127,354,249,?b,0.5614035087719298,0.725,0.2689075630252101,0.7310924369747899,32,87,57,120
